0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,34,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,35,1
1,38,120,125,125,125,125,8,8,8,8,8,8,125,125,125,125,125,125,8,8,8,8,8,8,125,125,125,125,121,38,1
1,38,127,119,124,124,124,7,7,7,7,7,7,124,119,119,119,119,124,7,7,7,7,7,7,124,124,124,119,126,38,1
1,38,127,126,1,1,1,1,1,1,1,1,1,1,127,119,119,126,1,1,1,1,1,1,1,1,1,1,127,126,38,1
1,38,127,126,1,100,101,1,100,101,1,100,101,1,127,119,119,126,1,100,101,1,100,101,1,100,101,1,127,126,38,1
1,38,127,126,1,102,103,1,102,103,1,102,103,1,127,119,119,126,1,102,103,1,102,103,1,102,103,1,127,126,38,1
1,38,127,126,1,1,1,1,1,1,1,1,1,1,127,119,119,126,1,1,1,1,1,1,1,1,1,1,127,126,38,1
1,38,10,2,8,8,8,125,125,125,125,125,125,8,2,2,2,2,8,125,125,125,125,125,125,8,8,8,2,9,38,1
1,38,10,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,9,38,1
1,38,10,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,9,38,1
1,38,10,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,9,38,1
1,38,10,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,9,38,1
1,38,10,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,9,38,1
1,38,127,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,126,38,1
1,38,127,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,126,38,1
1,38,127,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,126,38,1
1,38,127,119,119,119,119,2,2,2,2,2,2,119,119,119,119,119,119,2,2,2,2,2,2,119,119,119,119,126,38,1
1,38,127,119,124,124,124,7,7,7,7,7,7,124,119,119,119,119,124,7,7,7,7,7,7,124,124,124,119,126,38,1
1,38,127,126,1,1,1,1,1,1,1,1,1,1,127,119,119,126,1,1,1,1,1,1,1,1,1,1,127,126,38,1
1,38,10,2,1,100,101,1,100,101,1,100,101,1,10,2,2,2,1,100,101,1,100,101,1,100,101,1,10,9,38,1
1,38,10,2,1,102,103,1,102,103,1,102,103,1,10,2,2,2,1,102,103,1,102,103,1,102,103,1,10,9,38,1
1,38,10,2,1,1,1,1,1,1,1,1,1,1,10,2,2,2,1,1,1,1,1,1,1,1,1,1,10,9,38,1
1,38,10,2,8,8,8,125,125,125,125,125,125,8,2,2,2,2,8,125,125,125,125,125,125,8,8,8,2,9,38,1
1,38,6,7,7,7,7,124,124,124,124,124,124,7,7,7,7,7,7,124,124,124,124,124,124,7,7,7,7,5,38,1
1,36,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,37,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
